SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_350_46,61075,622100,7100339,157500,2536,125100,1499,38200,1444,43800,
seq_350_47,61075,654200,7130565,144900,2513,118100,1296,37600,1500,43000,
seq_350_48,61075,2214900,7160796,351200,2527,222700,1798,63200,1523,67900,
seq_350_49,61075,875700,7190642,336200,2505,215500,1533,59400,1381,99800,
seq_350_50,61075,924500,7220798,341000,2536,219100,1437,59100,1366,64900,
seq_350_51,61075,601000,7252566,151600,2526,119700,1480,37700,1783,43800,
seq_350_52,61075,589600,7282643,144700,2514,131900,1619,38900,1370,42500,
seq_350_53,61075,659700,7314098,150700,2529,117300,1933,38800,1390,42100,
seq_350_54,61075,683300,7345191,148700,2512,122100,1727,38800,2047,44200,
seq_350_55,61075,1000600,7374370,258600,2540,183700,1341,50200,1310,58800,
seq_350_56,61075,842700,7404379,311600,2529,230300,1285,57200,1361,64100,
seq_350_57,61075,941600,7434519,330400,2510,213200,1580,59300,1435,933800,
seq_350_58,61075,591100,7461985,134500,2523,139200,2338,61500,1638,62700,
seq_350_59,61075,867300,7492776,343700,2518,215200,1251,59000,1519,70000,
seq_350_60,61075,888000,7523097,339900,2531,214000,1401,58400,1682,68400,
seq_350_61,61075,920800,7553680,440900,2533,212200,1532,58000,1494,65800,
seq_350_62,61075,920300,7583437,337800,2505,219800,1604,63200,1536,65400,
seq_350_63,61075,560200,7614393,170000,2524,121600,1405,38000,1536,44500,
seq_350_64,61075,847600,7646403,323900,2538,220700,1617,60700,1584,65700,
seq_350_65,61075,898700,7677183,400400,2525,191800,1234,49100,1308,56700,
seq_350_66,61075,863000,7707479,3724400,2523,213900,1512,62500,1325,66000,
seq_350_67,61075,1551200,7739998,429100,2522,189500,1289,52100,1356,60400,
seq_350_68,61075,882000,7771250,377900,2526,220800,1993,62900,1531,65900,
seq_350_69,61075,866300,7801236,337800,2544,215300,1348,58300,1467,66000,
seq_350_70,61075,600900,7830198,147900,2516,126900,1478,116500,1735,62900,
seq_350_71,61075,601100,7861460,149800,2539,118100,1830,38700,1351,44200,
